package_name,downloads
@kolbo/kolbo-code-linux-arm64-musl,2517
datastake-daf,2514
@cdxgen/cdxgen-plugins-bin-darwin-arm64,2498
@cdxgen/cdxgen-plugins-bin-windows-amd64,2493
all-the-package-repos,2489
@lifeaitools/clauth,2487
@appthreat/cdxgen-plugins-bin,2468
tree-sitter-ocaml,2466
@superdoc-dev/cli-windows-x64,2432
create-fuels,2426
bebop-tools,2415
grab,2405
@screenpipe/cli-darwin-arm64,2399
react-native-bare-kit,2394
fixparser,2387
@duckmind/dm-linux-x64,2371
@venusprotocol/venus-protocol,2365
terriajs,2357
@duckmind/dm-windows-x64,2346
@cumulus/api,2345
@cdktn/provider-aws,2323
@ericsanchezok/synergy-darwin-x64-baseline,2305
@diplodoc/cli,2304
agentwebai,2295
@freeclaude/cli,2254
unicode-7.0.0,2253
@ericsanchezok/synergy-linux-x64-baseline-musl,2238
@duckmind/dm-darwin-arm64,2228
@duckmind/dm-darwin-x64,2218
@yeger/turbo-graph-ui,2215
@superdoc-dev/sdk-windows-x64,2208
@wix/auto_sdk_forms_forms,2199
@duckmind/dm-linux-arm64,2189
@ericsanchezok/synergy-linux-x64-musl,2179
@ericsanchezok/synergy-linux-x64,2176
@ericsanchezok/synergy-linux-x64-baseline,2175
@twsxtd/hapi-linux-x64,2170
nosearch-react-component,2152
@mmmbuto/codex-cli-termux,2142
@ericsanchezok/synergy-windows-x64-baseline,2121
@stdlib/datasets,2113
@lavilas/codex-linux-x64,2110
@ericsanchezok/synergy-windows-x64,2098
@bentley/imodeljs-darwin-x64,2096
@ericsanchezok/synergy-linux-arm64-musl,2073
rn-app-screen-preview-android,2070
hbuilderx-plugin-launcher,2069
@ericsanchezok/synergy-linux-arm64,2063
@sassoftware/va-report-components,2057
@uma/core,2054
@ericsanchezok/synergy-darwin-arm64,2052
@ericsanchezok/synergy-darwin-x64,2018
@toolbox-sdk/server-linux-x64,2016
create-expo-cljs-app,1983
@progress/kendo-cli,1978
@libphp/amazon-linux-2-v83,1976
@pnpm/macos-x64,1973
nodejs-polars-win32-x64-msvc,1970
@bossmode/cli,1966
@cdktf/aws-cdk,1960
pretendard-jp,1955
@imgly/background-removal-data,1954
cojson-core-rn,1948
all-the-public-replicate-models,1922
mongo-unit,1911
@onica/runway,1905
@oomol-lab/oo-cli-win32-arm64,1892
@joystick.js/node-canary,1890
@layerzerolabs/protocol-starknet-v2,1889
@oomol-lab/oo-cli-win32-x64,1885
@kilocode/cli-linux-arm64-musl,1875
@adaptic/backend-legacy,1875
@lenml/tokenizer-gemini,1875
@surrealdb/node,1853
@libphp/almalinux-9-v85,1852
@proteinjs/reflection-build,1842
@venusprotocol/isolated-pools,1840
@kilocode/cli-linux-arm64,1834
mfpdev-cli,1822
@socialgouv/kali-data,1805
@material-symbols-svg/vue,1804
@gnsx/genesys.js,1796
@db-ux/db-theme-icons,1792
@superfluid-finance/ethereum-contracts,1787
@fmsim/fmsim-restful,1783
fusionmaps,1779
react-native-filament-buildcores,1778
@tencentdb-agent-memory/tcvdb-text,1730
@react-native-oh/react-native-harmony,1717
openui5-dist,1709
@hyperlane-xyz/core,1709
@vrsen/agentswarm-cli-linux-x64-musl,1696
@qvac/llm-llamacpp,1691
unicode-12.0.0,1687
@mndrk/agx,1679
@qvac/tts-onnx,1656
zraldcli-darwin-arm64,1653
vue2-client,1653
@vrsen/agentswarm-cli-windows-x64,1627
