package,version,fan_in_global,fan_out_global,jt_in_degree,jt_out_degree,jt_instability,global_instability,jt_dependency_score,msr_ecosystem_risk_score
@uptake/cdk-vue,3.25.1,1,80,0,0,1.0000,0.9877,80,2.97
ea-iview,1.0.9,1,72,0,0,1.0000,0.9863,72,2.97
@iqprotocol/iq-space-protocol,2.1.22-alpha.0,1,66,0,0,1.0000,0.9851,66,2.97
@defra/interactive-map,0.0.1-alpha,1,55,0,0,1.0000,0.9821,55,2.96
@hyperlane-xyz/cli,34.0.0,1,65,0,1,1.0000,0.9848,65,2.96
cmcts-c-agent-embedding,1.0.46-cagent,1,60,0,0,1.0000,0.9836,60,2.96
@teller-protocol/v2-contracts,3.1.53,1,61,0,0,1.0000,0.9839,64,2.96
genesys.js,3.1.24,1,55,0,0,1.0000,0.9821,55,2.96
@nodefony/monitoring-bundle,7.0.2,1,56,0,0,1.0000,0.9825,56,2.96
@openhps/solid,1.0.3,1,59,0,1,1.0000,0.9833,59,2.96
@worktif/runtime,0.5.2,1,64,0,0,1.0000,0.9846,64,2.96
happy,1.1.8,1,50,0,0,1.0000,0.9804,50,2.95
@fideliosai/server,0.0.52,1,47,0,0,1.0000,0.9792,47,2.95
@intlayer/backend,8.9.8,1,53,0,0,1.0000,0.9815,53,2.95
@codemation/next-host,0.4.0,1,48,0,1,1.0000,0.9796,48,2.95
@react-pakistan/react-design-collection,1.2.14,1,49,0,1,1.0000,0.9800,49,2.95
@isentinel/jest-roblox,0.2.7,1,48,0,0,1.0000,0.9796,48,2.95
@ekkos/remote,0.15.0,1,48,0,0,1.0000,0.9796,48,2.95
specmem-hardwicksoftware,3.7.70,1,46,0,0,1.0000,0.9787,46,2.95
clustergrammer2-alpha,0.2.3,1,46,0,0,1.0000,0.9787,46,2.95
@learncard/lca-api-service,1.2.9,1,51,0,0,1.0000,0.9808,51,2.95
@matanelcohen/openspace-web,0.5.0,1,50,1,1,0.9804,0.9804,51,2.95
@gnsx/genesys.js,10.12.0,1,44,0,0,1.0000,0.9778,45,2.94
@raiadrogasil/pulso-react-native-components,3.30.1,1,41,0,0,1.0000,0.9762,41,2.94
xactions,3.1.0,1,40,0,1,1.0000,0.9756,40,2.94
@dnncommunity/dnn-elements,0.29.3,1,40,0,0,1.0000,0.9756,40,2.94
doloribusquam,1.4.1,1,40,0,0,1.0000,0.9756,40,2.94
@cajacko/template,1.5.3,1,43,0,1,1.0000,0.9773,43,2.94
hary-bot,1.0.1,1,40,1,1,0.9756,0.9756,41,2.94
@ebowwa/coder,0.7.103,1,41,0,0,1.0000,0.9762,41,2.94
vue-el-web,1.3.78,1,45,0,0,1.0000,0.9783,45,2.94
butce-asistanim,0.0.2,1,43,0,0,1.0000,0.9773,43,2.94
gsd-pi,3.0.0,1,38,0,0,1.0000,0.9744,39,2.93
@jam3/react-hooks,1.0.1,1,36,0,0,1.0000,0.9730,36,2.93
@hashgraph/asset-tokenization-contracts,7.0.0,1,36,0,0,1.0000,0.9730,35,2.93
@native-base/v3,0.3.2,1,37,0,0,1.0000,0.9737,37,2.93
leofcoin-core,0.4.17,1,36,0,0,1.0000,0.9730,36,2.93
tango-app-api-store-builder,1.1.93,1,34,0,1,1.0000,0.9714,34,2.92
@acalcutt/maplibre-gl-native,6.0.1,1,31,0,0,1.0000,0.9688,31,2.92
paraview-glance,4.17.1,1,34,1,2,0.9714,0.9714,35,2.92
react-native-zcash,0.10.7,1,32,0,0,1.0000,0.9697,32,2.92
@map3xyz/telemetry,0.0.12,1,31,0,0,1.0000,0.9688,31,2.92
@motherduck/duckdb-wasm,1.31.1-dev29.0,1,32,0,0,1.0000,0.9697,32,2.92
duckdb-wasm-opfs-tempdir,1.33.0-1,1,32,0,0,1.0000,0.9697,32,2.92
@minecraft/creator-tools,0.17.0,1,29,0,1,1.0000,0.9667,29,2.91
@yeger/turbo-graph-ui,2.8.8,1,30,0,1,1.0000,0.9677,30,2.91
gramma-lite,1.0.4,1,29,0,0,1.0000,0.9667,29,2.91
