package,avg_dependency_centrality,avg_lines_per_file,avg_function_length,avg_parameters_per_func
slopcode-bin-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
slopcode-bin-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
slopcode-bin-linux-x64,0.0000,0.0000,0.0000,0.0000
@htmlbricks/hb-player-input-streaming,0.0000,30.2500,1.0064,1.3758
slopcode-bin-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
ffmpeg-static-electron,0.5000,17.5000,0.0000,0.0000
@qvac/onnx,0.0000,1.0000,0.0000,0.0000
@htmlbricks/hb-player-live,0.0000,48.2500,1.0271,1.7347
aspose.cells.node.linux.x64,0.0000,0.0000,0.0000,0.0000
name-suggestion-index,0.0271,1534.9583,19.1797,1.8218
@kolbo/kolbo-code-linux-x64-musl,0.0000,304.4000,40.1628,1.4651
@kolbo/kolbo-code-linux-x64-baseline,0.0000,304.4000,40.1628,1.4651
@kolbo/kolbo-code-windows-arm64,0.0000,304.4000,40.1628,1.4651
@kolbo/kolbo-code-windows-x64-baseline,0.0000,304.4000,40.1628,1.4651
@kolbo/kolbo-code-linux-x64-baseline-musl,0.0000,304.4000,40.1628,1.4651
hermes-engine-cli,0.0000,0.0000,0.0000,0.0000
@oicl/openbridge-webcomponents,0.0003,105.3572,12.6328,3.3464
@kolbo/kolbo-code-linux-arm64,0.0000,304.4000,40.1628,1.4651
slopcode-bin-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
slopcode-bin-linux-arm64,0.0000,0.0000,0.0000,0.0000
@kolbo/kolbo-code-windows-x64,0.0000,304.4000,40.1628,1.4651
slopcode-bin-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@kolbo/kolbo-code-darwin-arm64,0.0000,304.4000,40.1628,1.4651
slopcode-bin-windows-x64,0.0000,0.0000,0.0000,0.0000
@ensdomains/ens-contracts,0.0021,2107.8580,41.3599,0.6436
slopcode-bin-darwin-x64,0.0000,0.0000,0.0000,0.0000
@lunapaint/tga-codec,0.0290,60.3548,23.7111,2.0889
@deno/win32-x64,0.0000,0.0000,0.0000,0.0000
slopcode-bin-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@toolbox-sdk/server-win32-x64,0.0000,0.0000,0.0000,0.0000
@minecraft/creator-tools,0.0013,135.1038,2.1498,1.9862
@ketryx/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
@kolbo/kolbo-code-darwin-x64-baseline,0.0000,304.4000,40.1628,1.4651
@kolbo/kolbo-code-darwin-x64,0.0000,304.4000,40.1628,1.4651
@clerk/cli-win32-x64,0.0000,0.0000,0.0000,0.0000
@kolbo/kolbo-code-linux-arm64-musl,0.0000,304.4000,40.1628,1.4651
@postman/pm-bin-linux-x64,0.0042,122.8012,19.4261,1.4629
tree-sitter-ocaml,0.0833,15.1667,0.0000,0.0000
all-the-package-repos,0.0000,14.0000,0.0000,0.0000
@cdxgen/cdxgen-plugins-bin-windows-amd64,0.0000,7.0000,0.0000,0.0000
@lifeaitools/clauth,0.0772,693.7647,44.5061,1.4571
@cdxgen/cdxgen-plugins-bin-darwin-arm64,0.0000,7.0000,0.0000,0.0000
heraldvox-cli,0.0913,991.3929,32.7267,1.1754
@superdoc-dev/cli-windows-x64,0.0000,0.0000,0.0000,0.0000
yongruizhang-blogimg,0.0000,0.0000,0.0000,0.0000
fixparser,0.0000,1057.9987,23.6185,2.2375
pretendard-gov,0.0000,16.0000,0.0000,0.0000
@screenpipe/cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@venusprotocol/venus-protocol,0.0004,229.5984,8.4753,1.1049
bebop-tools,0.1667,3053.0000,16.4388,1.6371
@freeclaude/cli,0.0667,424.7500,19.7458,1.3051
@appthreat/cdxgen-plugins-bin,0.0000,8.0000,0.0000,0.0000
react-native-bare-kit,0.0833,89.5000,0.0000,0.0000
@wix/auto_sdk_forms_forms,0.0167,89078.6250,3152.4542,1.0802
@superdoc-dev/sdk-windows-x64,0.0000,0.0000,0.0000,0.0000
agentwebai,0.0317,72.6429,23.0820,0.8852
@twsxtd/hapi-linux-x64,0.0000,0.0000,0.0000,0.0000
@stdlib/datasets,0.0002,62.6959,7.6587,0.1270
@lavilas/codex-linux-x64,0.0000,0.0000,0.0000,0.0000
@bentley/imodeljs-darwin-x64,0.0000,0.0000,0.0000,0.0000
nosearch-react-component,0.0001,8.8086,1.4334,1.5692
@uma/core,0.0002,240.4916,10.3333,1.3333
@mmmbuto/codex-cli-termux,0.0000,62.5000,26.6667,0.6667
@sassoftware/va-report-components,0.0000,14.2039,1.4266,1.7226
@libphp/amazon-linux-2-v83,0.0833,21.5000,3.8333,0.1667
@bossmode/cli,0.0172,130.9677,5.2026,1.4805
@cdktf/aws-cdk,0.0004,391.5783,18.1203,1.0461
@pnpm/macos-x64,0.0000,0.0000,0.0000,0.0000
nodejs-polars-win32-x64-msvc,0.0000,0.0000,0.0000,0.0000
mongo-unit,0.0000,72.0000,12.7692,0.8462
all-the-public-replicate-models,0.5000,3.0000,0.0000,0.0000
@toolbox-sdk/server-linux-x64,0.0000,0.0000,0.0000,0.0000
@joystick.js/node-canary,0.0044,38.8511,13.5828,1.8193
@oomol-lab/oo-cli-win32-arm64,0.0000,0.0000,0.0000,0.0000
cojson-core-rn,0.0364,612.9091,19.0563,1.6056
@adaptic/backend-legacy,0.0004,103.2302,8.3284,0.9990
@layerzerolabs/protocol-starknet-v2,0.0162,334.8214,4.0000,2.0000
hbuilderx-plugin-launcher,0.0000,0.0000,0.0000,0.0000
@lenml/tokenizer-gemini,0.0714,221.4000,1.1714,1.2000
@oomol-lab/oo-cli-win32-x64,0.0000,0.0000,0.0000,0.0000
@kilocode/cli-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@libphp/almalinux-9-v85,0.0833,21.2500,3.8333,0.1667
@imgly/background-removal-data,0.0000,0.0000,0.0000,0.0000
@socialgouv/kali-data,0.0493,26.3704,7.8421,0.8947
@surrealdb/node,0.0000,63.0000,0.0000,0.0000
pretendard-jp,0.0000,14.0000,0.0000,0.0000
@venusprotocol/isolated-pools,0.0005,331.2710,19.3049,1.5732
@superfluid-finance/ethereum-contracts,0.1000,5760.4000,37.1111,1.3333
@kilocode/cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@material-symbols-svg/vue,0.0002,71.3295,20.2500,1.7500
@gnsx/genesys.js,0.0012,148.7676,31.5847,1.3399
@tencentdb-agent-memory/tcvdb-text,0.0583,39.5000,6.0000,1.0000
@onica/runway,0.0000,61.0000,17.0000,3.0000
@fmsim/fmsim-restful,0.0048,109.5591,1.0465,1.9232
@vrsen/agentswarm-cli-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@db-ux/db-theme-icons,0.0000,415.1875,13.4000,2.0000
vue2-client,0.0013,265.8806,11.3466,1.8251
@vrsen/agentswarm-cli-windows-x64,0.0000,0.0000,0.0000,0.0000
react-native-filament-buildcores,0.0032,34.9921,18.6218,1.0966
@vrsen/agentswarm-cli-linux-x64,0.0000,0.0000,0.0000,0.0000
@qvac/llm-llamacpp,0.1000,143.1667,30.3333,1.5000
zraldcli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@qvac/tts-onnx,0.0595,218.9000,29.5696,1.5316
@vrsen/agentswarm-cli-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
riskjs,0.0000,4.0000,0.0000,0.0000
@react-native-oh/react-native-harmony,0.0015,244.3565,27.1795,1.9258
@vrsen/agentswarm-cli-windows-arm64,0.0000,0.0000,0.0000,0.0000
@vrsen/agentswarm-cli-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@kilocode/cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
foxfire,0.0273,39.9091,0.0000,0.0000
@postman/pm-bin-windows-x64,0.0042,122.8012,19.4261,1.4629
@builder.io/buildercode-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@kilocode/cli-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
@vrsen/agentswarm-cli-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@factory/cli-win32-x64,0.0000,0.0000,0.0000,0.0000
@builder.io/buildercode-win32-x64,0.0000,0.0000,0.0000,0.0000
archgate-win32-x64,0.0000,0.0000,0.0000,0.0000
newawesome,0.0336,204.2667,15.0000,0.3333
@socialgouv/fiches-vdd,0.1428,37.3333,14.5455,1.4545
@vrsen/agentswarm-cli-darwin-x64-baseline,0.0000,0.0000,0.0000,0.0000
@joggr/cli-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@vkhanhqui/figma-mcp-go,0.0000,23.0000,0.0000,0.0000
@factory/cli-win32-x64-baseline,0.0000,0.0000,0.0000,0.0000
@celo/client,0.0000,0.0000,0.0000,0.0000
@vrsen/agentswarm-cli-linux-arm64,0.0000,0.0000,0.0000,0.0000
@vrsen/agentswarm-cli-darwin-x64,0.0000,0.0000,0.0000,0.0000
@codemod.com/cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
react-native-notch-info,0.0417,11.5000,0.0000,0.0000
codeep,0.0085,216.6646,34.2023,1.4312
@builder.io/buildercode-linux-x64,0.0000,0.0000,0.0000,0.0000
@dotcms/dotcli,0.0000,144.0000,17.0000,0.7143
@vrsen/agentswarm-cli-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@dcl/unity-renderer,0.0000,3153.5714,5.4028,2.6698
@vrsen/agentswarm-cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@capillarytech/creatives-library,0.0019,331.0128,33.5541,0.9315
react-native-skia-graphite-apple-macos,0.0000,0.0000,0.0000,0.0000
react-native-fatos-sdk,0.0028,225.1860,0.0000,0.0000
@joggr/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
@qvac/embed-llamacpp,0.1500,61.2000,18.0000,2.0000
@humanlayer/cli-win32-x64,0.0000,0.0000,0.0000,0.0000
opengate-js,0.0034,305.5429,13.0848,1.8152
react-native-skia-graphite-apple-ios,0.0000,0.0000,0.0000,0.0000
@qvac/translation-nmtcpp,0.0262,256.7419,16.0417,1.5521
react-native-skia-graphite-android,0.0000,0.0000,0.0000,0.0000
@multiplayer-app/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
@blaze-money/kindling,0.0326,43.8750,39.0625,0.8750
@joggr/cli-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@bulletproof-sh/ctrl-daemon-windows-x64,0.0000,0.0000,0.0000,0.0000
@chillicream/nitro,0.0000,73.0000,15.3333,0.0000
license-kit,0.0076,137.7732,6.9471,1.8554
@thebushidocollective/han-linux-x64,0.0000,0.0000,0.0000,0.0000
@cypress-bin/binary-win32-x64,0.0000,0.0000,0.0000,0.0000
@babylonjs/react-native-windows-0-64,0.0000,0.0000,0.0000,0.0000
makecoder-codex-win32-x64,0.0000,0.0000,0.0000,0.0000
@agents-shire/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
bare-sidecar,0.0833,27.0000,8.0000,1.2500
