package,file_count,file_fan_in_avg,file_fan_out_avg,func_count,func_fan_in_avg,func_fan_out_avg,class_count,class_fan_in_avg,class_fan_out_avg
happy,21,1.5714,1.5714,472,0.1123,0.1377,38,1.1579,1.1579
coveo-search-ui,1632,1.3621,1.3621,12838,0.1330,0.1461,293,1.6007,1.7235
node-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@oh-my-pi/pi-natives,6,0.5000,0.5000,16,0.1250,0.1875,5,0.0000,0.0000
@sigmashake/ssg-win32-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@ip-location-db/geolite2-city,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
emoji-assets,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
china-division,9,0.7778,0.7778,6,1.0000,1.0000,0,0.0000,0.0000
nswag-portable,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
genshin-db,46,0.3261,0.3261,56,0.9107,0.9464,1,0.0000,0.0000
@bentley/imodeljs-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@vscode/openssl-prebuilt,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
ax-code-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@signalapp/libsignal-client,186,2.5968,2.5968,51,0.3922,0.4706,262,0.0763,0.0763
@cubic-dev-ai/cli-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@cubic-dev-ai/cli-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@cubic-dev-ai/cli-linux-x64-baseline-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@eusoumarlon/wa-version,26,1.1538,1.1538,46,0.0000,0.1522,0,0.0000,0.0000
@layerzerolabs/lz-evm-sdk-v1,5,0.0000,0.0000,68,0.0000,0.0294,180,0.0000,0.0000
@cubic-dev-ai/cli-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
react-native-filament,403,1.1985,1.1985,261,0.4100,0.7241,7,0.0000,0.0000
ax-code-windows-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
claudio-cli-win-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@f5xc-salesdemos/pi-natives-linux-x64-gnu,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@omega-edit/server,2,0.0000,0.0000,6,0.1667,0.3333,0,0.0000,0.0000
ax-code-linux-x64-baseline-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
ax-code-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
ax-code-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
react-native-barcode-builder,10,0.3000,0.3000,1,0.0000,0.0000,2,0.0000,0.0000
@kmmao/happy-coder,29,2.0345,2.0345,1008,0.0744,0.0893,63,1.2381,1.2381
@cyclonedx/cdxgen-plugins-bin-linuxmusl-amd64,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
ax-code-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
pokeapi-sprites,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@nativescript/android,3,0.0000,0.0000,105,0.2952,0.3143,0,0.0000,0.0000
@f5xc-salesdemos/pi-natives,4,0.5000,0.5000,10,0.2000,0.3000,6,0.0000,0.0000
ax-code-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@agenshield/cli-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@onomy/jsi-rn-wallet-core,5,0.0000,0.0000,3,0.0000,0.0000,0,0.0000,0.0000
@f5xc-salesdemos/pi-natives-win32-x64-msvc,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
ax-code-windows-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@vladmandic/human-models,1,0.0000,0.0000,1,0.0000,1.0000,0,0.0000,0.0000
@toolbox-sdk/server-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@syncfusion/blazor-themes,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
