package,version,size_bytes,fan_in_total,fan_out,global_instability,coupling_volume,dependency_balance
blzshared-rds-sync,1.7.6,339726635,0,13,1.0,13,-13
cef-screenshot-darwin-x64,0.3.2,326789920,0,0,0.0,0,0
react-native-native-toast-library-january,0.0.1,394331275,0,11,1.0,11,-11
rekomendacje_3mk,1.5.1,359843100,0,12,1.0,12,-12
react-native-social-login-component,0.0.1,381693710,0,11,1.0,11,-11
sh-reservoir-kit,0.0.2,325054964,0,20,1.0,20,-20
@zas0929testing/some-package2,1.0.0,318874620,0,0,0.0,0,0
io-anyline-adcubum,3.10.0-1,318312296,0,0,0.0,0,0
ppt.live.server,1.0.2,310340229,0,1,1.0,1,-1
lz-ffmpeg-static-electron,2.0.3,298791965,0,1,1.0,1,-1
@expo-google-fonts/chiron-hei-hk,0.4.3,299375025,0,0,0.0,0,0
@spectacular-voyage/kato-win32-x64,0.2.11,291546095,0,0,0.0,0,0
nativescript-cardio,0.0.1,292607501,0,7,1.0,7,-7
generator-main-app-web,0.0.27,282326618,0,14,1.0,14,-14
prayotiapp,1.0.0,314824241,0,21,1.0,21,-21
react-native-template-firebase-boilerplate,0.0.7,297771940,0,0,0.0,0,0
react-native-template-securam,0.0.2,290417389,0,0,0.0,0,0
create-stellar-devkit-app,1.1.5,279455962,0,8,1.0,8,-8
wechat-devtool-linux,1.0.0,283329687,0,0,0.0,0,0
@trieutulong/speech-recognition,0.0.13,287140196,0,10,1.0,10,-10
@chetan_nitor/dynamic-form-new,0.1.1,237429258,0,11,1.0,11,-11
cprn-boilerplate,0.0.1,277914752,0,0,0.0,0,0
linyao,1.0.0,266832403,0,0,0.0,0,0
epassport,0.0.1,258946032,0,10,1.0,10,-10
app-navegacao,0.0.3,263148679,0,0,0.0,0,0
@spectacular-voyage/kato-darwin-arm64,0.2.11,246096022,0,0,0.0,0,0
vr3d2021,1.0.0,280132914,0,77,1.0,77,-77
testnpmpackagetestnpm,2.36.0,266392380,0,27,1.0,27,-27
@stayin/stayin-core-db,1.2.27,253015510,0,6,1.0,6,-6
fw-rn-aliface,1.0.11,224981746,0,1,1.0,1,-1
@wispbit/local-linux-x64-gnu,1.0.106,222936171,0,0,0.0,0,0
@wireio/wire-protobuf-bundler,1.0.13,221801366,0,15,1.0,15,-15
package_universe_test,1.0.0,233037674,0,7,1.0,7,-7
ocvim-linux-x64,1.2.20,203941527,0,0,0.0,0,0
nikcli-linux-arm64-musl,0.0.6,204421998,0,0,0.0,0,0
@siteed/moonshine.rn,0.4.0,909563,0,18,1.0,18,-18
react-native-document-reader-core-barcodemrzrfid,5.1.0,210272133,0,0,0.0,0,0
@scottsus/opencode-linux-x64-baseline,1.2.15-scottsus.2,202862790,0,0,0.0,0,0
nngeogonganauth7,1.1.2,203939521,0,0,0.0,0,0
react-native-dealer-pay-clearent-sdk,0.1.3,211698013,0,19,1.0,19,-19
castclaw-windows-x64,1.2.2,202506067,0,0,0.0,0,0
generator-jhipster-blockchain,0.0.1,174846920,0,14,1.0,14,-14
hybrixd,1.1.21,174608371,0,15,1.0,15,-15
rtsc,1.9.11,180935247,0,13,1.0,13,-13
@t117503445/yunzai-bot,3.0.3,212257222,0,26,1.0,26,-26
dap-fronted-new,0.1.0,208801348,0,31,1.0,31,-31
etab-oss,1.0.3,203248847,0,12,1.0,12,-12
nikcli-darwin-x64-baseline,0.0.6,172758585,0,0,0.0,0,0
@coryrowe/openclaw-zh,2026.2.21-zh.1,168108788,0,71,1.0,71,-71
feedo,0.7.0,167846166,0,53,1.0,53,-53
fribbels-e7-optimizer,1.8.4,183228052,0,132,1.0,132,-132
bincode-windows-x64,1.1.1,168895353,0,0,0.0,0,0
agent-swarm-cli-linux-x64,1.3.15,167879129,0,0,0.0,0,0
gs-cae-design,1.1.72,165660278,0,0,0.0,0,0
sahyacode-linux-x64-baseline,2.14.3,166022188,0,0,0.0,0,0
@mv-template/cameravision,0.0.14,167251833,0,85,1.0,85,-85
integer-sequences,1.0.4,156555935,0,10,1.0,10,-10
telec,0.1.4,160516105,0,6,1.0,6,-6
hummingbot-dashboard,0.0.12,152769813,0,1,1.0,1,-1
exam2023,1.0.0,190357745,0,0,0.0,0,0
@pixelml/claw-windows-x64,0.0.1,152067797,0,0,0.0,0,0
yinghe-lowcode,3.4.5,144618635,0,47,1.0,47,-47
org.byted.vrtv.biz.interdrama,1.2.6,161839192,0,0,0.0,0,0
weex-plugin-adhoc,2.0.0,146249286,0,48,1.0,48,-48
@parham125/5bw1fm60gyr2,1.0.1,167707189,0,0,0.0,0,0
myyzzcomponent,1.0.5,153270341,0,0,0.0,0,0
@harvi-code/harvicode-linux-x64-musl,1.4.8,121891327,0,0,0.0,0,0
npm-sit-ngiam,1.0.0,150032461,0,0,0.0,0,0
cindy-test-edit-v1,0.1.3,162649535,1,1,0.5,2,0
react-native-native-demo-odoo-lib-new,1.1.0,134902236,0,1,1.0,1,-1
antd-echarts-components,1.0.9,138965516,0,17,1.0,17,-17
jam-darwin-x64,0.10.0,141602056,0,0,0.0,0,0
ikuuu-client,0.0.13,149551623,0,2,1.0,2,-2
@zelo/zelosh-darwin-x64,0.0.12,137276669,0,0,0.0,0,0
@tabler/preview,1.2.0,141747092,0,25,1.0,25,-25
node-darwin-arm64,18.9.0,132756420,0,0,0.0,0,0
cypress-bc,3.1.1,141299722,0,64,1.0,64,-64
@zhangchongzhi/webpack,1.0.0,148426761,0,372,1.0,372,-372
claudio-linux-x64-musl,1.2.31,133758234,0,0,0.0,0,0
